(R)-warfarin,The risk or severity of bleeding can be increased when Ceftriaxone is combined with (R)-warfarin.
Lithium carbonate,Ceftriaxone may decrease the excretion rate of Lithium carbonate which could result in a higher serum level.
Lithium cation,Ceftriaxone may decrease the excretion rate of Lithium cation which could result in a higher serum level.
Lithium citrate,Ceftriaxone may decrease the excretion rate of Lithium citrate which could result in a higher serum level.
Lithium hydroxide,Ceftriaxone may decrease the excretion rate of Lithium hydroxide which could result in a higher serum level.
Lithium succinate,Ceftriaxone may decrease the excretion rate of Lithium succinate which could result in a higher serum level.
Lixisenatide,Ceftriaxone may decrease the excretion rate of Lixisenatide which could result in a higher serum level.
Lofexidine,Ceftriaxone may decrease the excretion rate of Lofexidine which could result in a higher serum level.
Lonazolac,Lonazolac may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Loperamide,The serum concentration of Loperamide can be increased when it is combined with Ceftriaxone.
Lopinavir,Lopinavir may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Loracarbef,Loracarbef may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Lorazepam,Ceftriaxone may decrease the excretion rate of Lorazepam which could result in a higher serum level.
Lorcaserin,Ceftriaxone may decrease the excretion rate of Lorcaserin which could result in a higher serum level.
Lornoxicam,Lornoxicam may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Lorpiprazole,Ceftriaxone may decrease the excretion rate of Lorpiprazole which could result in a higher serum level.
Losartan,The serum concentration of Losartan can be increased when it is combined with Ceftriaxone.
Loxoprofen,Loxoprofen may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Lubiprostone,Ceftriaxone may decrease the excretion rate of Lubiprostone which could result in a higher serum level.
Lumiracoxib,Lumiracoxib may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Lusutrombopag,The serum concentration of Lusutrombopag can be increased when it is combined with Ceftriaxone.
Macitentan,Ceftriaxone may decrease the excretion rate of Macitentan which could result in a higher serum level.
Magnesium carbonate,Ceftriaxone may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.
Magnesium chloride,Ceftriaxone may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.
Magnesium hydroxide,Ceftriaxone may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.
Magnesium salicylate,Magnesium salicylate may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Magnesium trisilicate,Ceftriaxone may decrease the excretion rate of Magnesium trisilicate which could result in a higher serum level.
Mangafodipir,Ceftriaxone may decrease the excretion rate of Mangafodipir which could result in a higher serum level.
Mannitol,The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Ceftriaxone.
Maprotiline,Ceftriaxone may decrease the excretion rate of Maprotiline which could result in a higher serum level.
Mebutizide,Mebutizide may increase the excretion rate of Ceftriaxone which could result in a lower serum level and potentially a reduction in efficacy.
Mecamylamine,Ceftriaxone may decrease the excretion rate of Mecamylamine which could result in a higher serum level.
Meclofenamic acid,Meclofenamic acid may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Medroxyprogesterone acetate,Ceftriaxone may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.
Mefenamic acid,Mefenamic acid may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Mefloquine,The serum concentration of Mefloquine can be increased when it is combined with Ceftriaxone.
Mefruside,Mefruside may increase the excretion rate of Ceftriaxone which could result in a lower serum level and potentially a reduction in efficacy.
Megestrol acetate,Ceftriaxone may decrease the excretion rate of Megestrol acetate which could result in a higher serum level.
Melagatran,The therapeutic efficacy of Melagatran can be decreased when used in combination with Ceftriaxone.
Meloxicam,Meloxicam may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Melperone,Ceftriaxone may decrease the excretion rate of Melperone which could result in a higher serum level.
Melphalan,The serum concentration of Melphalan can be increased when it is combined with Ceftriaxone.
Memantine,Ceftriaxone may decrease the excretion rate of Memantine which could result in a higher serum level.
Meperidine,Ceftriaxone may decrease the excretion rate of Meperidine which could result in a higher serum level.
Mepivacaine,Ceftriaxone may decrease the excretion rate of Mepivacaine which could result in a higher serum level.
Mercaptopurine,The excretion of Mercaptopurine can be decreased when combined with Ceftriaxone.
Meropenem,Ceftriaxone may decrease the excretion rate of Meropenem which could result in a higher serum level.
Mersalyl,Ceftriaxone may decrease the excretion rate of Mersalyl which could result in a higher serum level.
Mesalazine,Mesalazine may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Metamfetamine,Ceftriaxone may decrease the excretion rate of Metamfetamine which could result in a higher serum level.
Metamizole,Metamizole may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Metaxalone,Ceftriaxone may decrease the excretion rate of Metaxalone which could result in a higher serum level.
Metformin,Ceftriaxone may decrease the excretion rate of Metformin which could result in a higher serum level.
Methadone,Ceftriaxone may decrease the excretion rate of Methadone which could result in a higher serum level.
Methazolamide,Methazolamide may increase the excretion rate of Ceftriaxone which could result in a lower serum level and potentially a reduction in efficacy.
Methimazole,Ceftriaxone may decrease the excretion rate of Methimazole which could result in a higher serum level.
Methotrexate,The serum concentration of Methotrexate can be increased when it is combined with Ceftriaxone.
Methoxsalen,Ceftriaxone may decrease the excretion rate of Methoxsalen which could result in a higher serum level.
Methyclothiazide,Methyclothiazide may increase the excretion rate of Ceftriaxone which could result in a lower serum level and potentially a reduction in efficacy.
Methyldopa,Ceftriaxone may decrease the excretion rate of Methyldopa which could result in a higher serum level.
Methylene blue,Ceftriaxone may decrease the excretion rate of Methylene blue which could result in a higher serum level.
Methylnaltrexone,Ceftriaxone may decrease the excretion rate of Methylnaltrexone which could result in a higher serum level.
Methylphenidate,Ceftriaxone may decrease the excretion rate of Methylphenidate which could result in a higher serum level.
Methylprednisolone,The serum concentration of Methylprednisolone can be increased when it is combined with Ceftriaxone.
Methyltestosterone,Ceftriaxone may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.
Meticrane,Meticrane may increase the excretion rate of Ceftriaxone which could result in a lower serum level and potentially a reduction in efficacy.
Metoclopramide,Ceftriaxone may decrease the excretion rate of Metoclopramide which could result in a higher serum level.
Metolazone,Ceftriaxone may decrease the excretion rate of Metolazone which could result in a higher serum level.
Metoprolol,The serum concentration of Metoprolol can be increased when it is combined with Ceftriaxone.
Metyrapone,Ceftriaxone may decrease the excretion rate of Metyrapone which could result in a higher serum level.
Micronomicin,Micronomicin may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Midazolam,Ceftriaxone may decrease the excretion rate of Midazolam which could result in a higher serum level.
Migalastat,Ceftriaxone may decrease the excretion rate of Migalastat which could result in a higher serum level.
Milnacipran,Ceftriaxone may decrease the excretion rate of Milnacipran which could result in a higher serum level.
Milrinone,Ceftriaxone may decrease the excretion rate of Milrinone which could result in a higher serum level.
Mirabegron,The serum concentration of Mirabegron can be increased when it is combined with Ceftriaxone.
Mitomycin,The serum concentration of Mitomycin can be increased when it is combined with Ceftriaxone.
Mitoxantrone,The serum concentration of Mitoxantrone can be increased when it is combined with Ceftriaxone.
Mofebutazone,Mofebutazone may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Morniflumate,Morniflumate may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Morphine,The serum concentration of Morphine can be increased when it is combined with Ceftriaxone.
Moxidectin,The serum concentration of Moxidectin can be increased when it is combined with Ceftriaxone.
Moxisylyte,Ceftriaxone may decrease the excretion rate of Moxisylyte which could result in a higher serum level.
Muzolimine,Muzolimine may increase the excretion rate of Ceftriaxone which could result in a lower serum level and potentially a reduction in efficacy.
Mycophenolate mofetil,The serum concentration of Mycophenolate mofetil can be increased when it is combined with Ceftriaxone.
Mycophenolic acid,Ceftriaxone may decrease the excretion rate of Mycophenolic acid which could result in a higher serum level.
N-acetyltyrosine,Ceftriaxone may decrease the excretion rate of N-acetyltyrosine which could result in a higher serum level.
N-methylnicotinamide,Ceftriaxone may decrease the excretion rate of N-Methylnicotinamide which could result in a higher serum level.
Nabumetone,Nabumetone may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Nadolol,The serum concentration of Nadolol can be increased when it is combined with Ceftriaxone.
Nadroparin,The therapeutic efficacy of Nadroparin can be decreased when used in combination with Ceftriaxone.
Nafamostat,The therapeutic efficacy of Nafamostat can be decreased when used in combination with Ceftriaxone.
Naldemedine,Ceftriaxone may decrease the excretion rate of Naldemedine which could result in a higher serum level.
Nalmefene,Ceftriaxone may decrease the excretion rate of Nalmefene which could result in a higher serum level.
Naloxegol,The serum concentration of Naloxegol can be increased when it is combined with Ceftriaxone.
Naloxone,The serum concentration of Naloxone can be increased when it is combined with Ceftriaxone.
Naproxen,Naproxen may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Nateglinide,Ceftriaxone may decrease the excretion rate of Nateglinide which could result in a higher serum level.
Neamine,Neamine may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Nedaplatin,Ceftriaxone may decrease the excretion rate of Nedaplatin which could result in a higher serum level.
Nedocromil,Ceftriaxone may decrease the excretion rate of Nedocromil which could result in a higher serum level.
Nefazodone,Ceftriaxone may decrease the excretion rate of Nefazodone which could result in a higher serum level.
Nelfinavir,The serum concentration of Nelfinavir can be increased when it is combined with Ceftriaxone.
Neomycin,Neomycin may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Neostigmine,The serum concentration of Neostigmine can be increased when it is combined with Ceftriaxone.
Netilmicin,Netilmicin may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Nicardipine,The serum concentration of Nicardipine can be increased when it is combined with Ceftriaxone.
Nicorandil,Ceftriaxone may decrease the excretion rate of Nicorandil which could result in a higher serum level.
Nifedipine,The serum concentration of Nifedipine can be increased when it is combined with Ceftriaxone.
Nifenazone,Nifenazone may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Niflumic Acid,Niflumic Acid may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Nilotinib,The serum concentration of Nilotinib can be increased when it is combined with Ceftriaxone.
Nilutamide,Ceftriaxone may decrease the excretion rate of Nilutamide which could result in a higher serum level.
Nimesulide,Nimesulide may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Nintedanib,The serum concentration of Nintedanib can be increased when it is combined with Ceftriaxone.
Nisoldipine,Ceftriaxone may decrease the excretion rate of Nisoldipine which could result in a higher serum level.
Nitric Oxide,Ceftriaxone may decrease the excretion rate of Nitric Oxide which could result in a higher serum level.
Nitroaspirin,Nitroaspirin may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Nitrofurantoin,Ceftriaxone may decrease the excretion rate of Nitrofurantoin which could result in a higher serum level.
Nitroprusside,Ceftriaxone may decrease the excretion rate of Nitroprusside which could result in a higher serum level.
Nizatidine,The serum concentration of Nizatidine can be increased when it is combined with Ceftriaxone.
NS-398,NS-398 may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Octinoxate,Ceftriaxone may decrease the excretion rate of Octinoxate which could result in a higher serum level.
Octreotide,The serum concentration of Octreotide can be increased when it is combined with Ceftriaxone.
Odanacatib,The serum concentration of Odanacatib can be increased when it is combined with Ceftriaxone.
Olanzapine,The serum concentration of Olanzapine can be increased when it is combined with Ceftriaxone.
Olaparib,The serum concentration of Olaparib can be increased when it is combined with Ceftriaxone.
Olsalazine,Olsalazine may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Omadacycline,The serum concentration of Omadacycline can be increased when it is combined with Ceftriaxone.
Ombitasvir,The serum concentration of Ombitasvir can be increased when it is combined with Ceftriaxone.
Omeprazole,The serum concentration of Omeprazole can be increased when it is combined with Ceftriaxone.
Ondansetron,The serum concentration of Ondansetron can be increased when it is combined with Ceftriaxone.
Opium,Ceftriaxone may decrease the excretion rate of Opium which could result in a higher serum level.
Oseltamivir,Ceftriaxone may decrease the excretion rate of Oseltamivir which could result in a higher serum level.
Osimertinib,The serum concentration of Osimertinib can be increased when it is combined with Ceftriaxone.
Otamixaban,The therapeutic efficacy of Otamixaban can be decreased when used in combination with Ceftriaxone.
Oxabolone cipionate,Ceftriaxone may decrease the excretion rate of Oxabolone cipionate which could result in a higher serum level.
Oxacillin,Ceftriaxone may decrease the excretion rate of Oxacillin which could result in a higher serum level.
Oxalic Acid,The excretion of Oxalic Acid can be decreased when combined with Ceftriaxone.
Oxaprozin,Oxaprozin may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Oxazepam,Ceftriaxone may decrease the excretion rate of Oxazepam which could result in a higher serum level.
Oxybenzone,Ceftriaxone may decrease the excretion rate of Oxybenzone which could result in a higher serum level.
Oxyphenbutazone,Oxyphenbutazone may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Oxyquinoline,Ceftriaxone may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.
Paclitaxel,The serum concentration of Paclitaxel can be increased when it is combined with Ceftriaxone.
Paliperidone,The serum concentration of Paliperidone can be increased when it is combined with Ceftriaxone.
Palonosetron,Ceftriaxone may decrease the excretion rate of Palonosetron which could result in a higher serum level.
Pamidronic acid,The risk or severity of nephrotoxicity and hypocalcemia can be increased when Ceftriaxone is combined with Pamidronic acid.
Panobinostat,The serum concentration of Panobinostat can be increased when it is combined with Ceftriaxone.
Pantoprazole,The serum concentration of Pantoprazole can be increased when it is combined with Ceftriaxone.
Parecoxib,Parecoxib may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Paritaprevir,The serum concentration of Paritaprevir can be increased when it is combined with Ceftriaxone.
Parnaparin,The therapeutic efficacy of Parnaparin can be decreased when used in combination with Ceftriaxone.
Paromomycin,Paromomycin may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Paroxetine,Ceftriaxone may decrease the excretion rate of Paroxetine which could result in a higher serum level.
Patent Blue,Ceftriaxone may decrease the excretion rate of Patent Blue which could result in a higher serum level.
Pazopanib,The serum concentration of Pazopanib can be increased when it is combined with Ceftriaxone.
Pegaptanib,Ceftriaxone may decrease the excretion rate of Pegaptanib which could result in a higher serum level.
Peginesatide,Ceftriaxone may decrease the excretion rate of Peginesatide which could result in a higher serum level.
Pemetrexed,Ceftriaxone may decrease the excretion rate of Pemetrexed which could result in a higher serum level.
Penbutolol,Ceftriaxone may decrease the excretion rate of Penbutolol which could result in a higher serum level.
Pentaerythritol tetranitrate,Ceftriaxone may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.
Pentamidine,Pentamidine may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Pentastarch,Ceftriaxone may decrease the excretion rate of Pentastarch which could result in a higher serum level.
Pentazocine,The serum concentration of Pentazocine can be increased when it is combined with Ceftriaxone.
Pentetic acid,Ceftriaxone may decrease the excretion rate of Pentetic acid which could result in a higher serum level.
Pentobarbital,Ceftriaxone may decrease the excretion rate of Pentobarbital which could result in a higher serum level.
Pentosan Polysulfate,The therapeutic efficacy of Pentosan Polysulfate can be decreased when used in combination with Ceftriaxone.
Pentostatin,Ceftriaxone may decrease the excretion rate of Pentostatin which could result in a higher serum level.
Pentoxifylline,Ceftriaxone may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.
Perindopril,Ceftriaxone may decrease the excretion rate of Perindopril which could result in a higher serum level.
Phenelzine,Ceftriaxone may decrease the excretion rate of Phenelzine which could result in a higher serum level.
Phenindione,The risk or severity of bleeding can be increased when Ceftriaxone is combined with Phenindione.
Phenobarbital,The serum concentration of Phenobarbital can be increased when it is combined with Ceftriaxone.
Phenothiazine,The serum concentration of Phenothiazine can be increased when it is combined with Ceftriaxone.
Phenprocoumon,The risk or severity of bleeding can be increased when Ceftriaxone is combined with Phenprocoumon.
Phentolamine,Ceftriaxone may decrease the excretion rate of Phentolamine which could result in a higher serum level.
Phenylbutazone,Phenylbutazone may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Phenytoin,The serum concentration of Phenytoin can be increased when it is combined with Ceftriaxone.
Pholcodine,Ceftriaxone may decrease the excretion rate of Pholcodine which could result in a higher serum level.
Phosphocreatine,Ceftriaxone may decrease the excretion rate of Phosphocreatine which could result in a higher serum level.
Phosphoric acid,Ceftriaxone may decrease the excretion rate of Phosphoric acid which could result in a higher serum level.
Phylloquinone,Ceftriaxone may decrease the excretion rate of Phylloquinone which could result in a higher serum level.
Pibrentasvir,The serum concentration of Pibrentasvir can be increased when it is combined with Ceftriaxone.
Picosulfuric acid,Ceftriaxone may decrease the excretion rate of Picosulfuric acid which could result in a higher serum level.
Pidotimod,Ceftriaxone may decrease the excretion rate of Pidotimod which could result in a higher serum level.
Pindolol,Ceftriaxone may decrease the excretion rate of Pindolol which could result in a higher serum level.
Piperacillin,Ceftriaxone may decrease the excretion rate of Piperacillin which could result in a higher serum level.
Piracetam,Ceftriaxone may decrease the excretion rate of Piracetam which could result in a higher serum level.
Piretanide,Piretanide may increase the excretion rate of Ceftriaxone which could result in a lower serum level and potentially a reduction in efficacy.
Pirlindole,Ceftriaxone may decrease the excretion rate of Pirlindole which could result in a higher serum level.
Piroxicam,Piroxicam may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Pirprofen,Pirprofen may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Pitavastatin,The serum concentration of Pitavastatin can be increased when it is combined with Ceftriaxone.
Pitolisant,Ceftriaxone may decrease the excretion rate of Pitolisant which could result in a higher serum level.
Plazomicin,Ceftriaxone may decrease the excretion rate of Plazomicin which could result in a higher serum level.
Plerixafor,Ceftriaxone may decrease the excretion rate of Plerixafor which could result in a higher serum level.
Polyethylene glycol 400,Ceftriaxone may decrease the excretion rate of Polyethylene glycol 400 which could result in a higher serum level.
Polymyxin B,The risk or severity of nephrotoxicity can be increased when Polymyxin B sulfate is combined with Ceftriaxone.
Polythiazide,Polythiazide may increase the excretion rate of Ceftriaxone which could result in a lower serum level and potentially a reduction in efficacy.
Pomalidomide,The serum concentration of Pomalidomide can be increased when it is combined with Ceftriaxone.
Ponatinib,The serum concentration of Ponatinib can be increased when it is combined with Ceftriaxone.
Posaconazole,The serum concentration of Posaconazole can be increased when it is combined with Ceftriaxone.
Potassium,Potassium may increase the excretion rate of Ceftriaxone which could result in a lower serum level and potentially a reduction in efficacy.
Potassium acetate,Ceftriaxone may decrease the excretion rate of Potassium acetate which could result in a higher serum level.
Potassium bicarbonate,Ceftriaxone may decrease the excretion rate of Potassium bicarbonate which could result in a higher serum level.
Potassium chloride,Ceftriaxone may decrease the excretion rate of Potassium chloride which could result in a higher serum level.
Potassium Citrate,Potassium Citrate may increase the excretion rate of Ceftriaxone which could result in a lower serum level and potentially a reduction in efficacy.
Potassium nitrate,Ceftriaxone may decrease the excretion rate of Potassium nitrate which could result in a higher serum level.
Potassium perchlorate,Ceftriaxone may decrease the excretion rate of Potassium perchlorate which could result in a higher serum level.
Potassium sulfate,Ceftriaxone may decrease the excretion rate of Potassium sulfate which could result in a higher serum level.
Pralatrexate,Ceftriaxone may decrease the excretion rate of Pralatrexate which could result in a higher serum level.
Pralidoxime,Ceftriaxone may decrease the excretion rate of Pralidoxime which could result in a higher serum level.
Pramipexole,Ceftriaxone may decrease the excretion rate of Pramipexole which could result in a higher serum level.
Pranoprofen,Pranoprofen may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Prasugrel,Ceftriaxone may decrease the excretion rate of Prasugrel which could result in a higher serum level.
Pravastatin,The serum concentration of Pravastatin can be increased when it is combined with Ceftriaxone.
Prazosin,The serum concentration of Prazosin can be increased when it is combined with Ceftriaxone.
Prednisolone,The serum concentration of Prednisolone can be increased when it is combined with Ceftriaxone.
Prednisone,The serum concentration of Prednisone can be increased when it is combined with Ceftriaxone.
Pregabalin,Ceftriaxone may decrease the excretion rate of Pregabalin which could result in a higher serum level.
Probenecid,The serum concentration of Ceftriaxone can be increased when it is combined with Probenecid.
Procainamide,Ceftriaxone may decrease the excretion rate of Procainamide which could result in a higher serum level.
Procaine benzylpenicillin,Ceftriaxone may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.
Progesterone,The serum concentration of Progesterone can be increased when it is combined with Ceftriaxone.
Proglumetacin,Proglumetacin may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Promethazine,Ceftriaxone may decrease the excretion rate of Promethazine which could result in a higher serum level.
Propacetamol,Ceftriaxone may decrease the excretion rate of Propacetamol which could result in a higher serum level.
Propantheline,Ceftriaxone may decrease the excretion rate of Propantheline which could result in a higher serum level.
Propiverine,Ceftriaxone may decrease the excretion rate of Propiverine which could result in a higher serum level.
Propranolol,The serum concentration of Propranolol can be increased when it is combined with Ceftriaxone.
Propyphenazone,Propyphenazone may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Proquazone,Proquazone may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Protein C,The therapeutic efficacy of Protein C can be decreased when used in combination with Ceftriaxone.
Protein S human,The therapeutic efficacy of Protein S human can be decreased when used in combination with Ceftriaxone.
Prucalopride,The serum concentration of Prucalopride can be increased when it is combined with Ceftriaxone.
Puromycin,Puromycin may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Pyrantel,Ceftriaxone may decrease the excretion rate of Pyrantel which could result in a higher serum level.
Pyrazinamide,Ceftriaxone may decrease the excretion rate of Pyrazinamide which could result in a higher serum level.
Pyridoxine,Ceftriaxone may decrease the excretion rate of Pyridoxine which could result in a higher serum level.
Quetiapine,The serum concentration of Quetiapine can be increased when it is combined with Ceftriaxone.
Quinapril,The excretion of Quinapril can be decreased when combined with Ceftriaxone.
Quinethazone,Quinethazone may increase the excretion rate of Ceftriaxone which could result in a lower serum level and potentially a reduction in efficacy.
Quinidine,Ceftriaxone may decrease the excretion rate of Quinidine which could result in a higher serum level.
Quinine,The serum concentration of Quinine can be increased when it is combined with Ceftriaxone.
Rabeprazole,Ceftriaxone may decrease the excretion rate of Rabeprazole which could result in a higher serum level.
Rabies virus inactivated antigen, A,The therapeutic efficacy of Rabies virus inactivated antigen, A can be decreased when used in combination with Ceftriaxone.
Rabies virus inactivated antigen, B,The therapeutic efficacy of Rabies virus inactivated antigen, B can be decreased when used in combination with Ceftriaxone.
Ramelteon,Ceftriaxone may decrease the excretion rate of Ramelteon which could result in a higher serum level.
Ranitidine,The serum concentration of Ranitidine can be increased when it is combined with Ceftriaxone.
Ranolazine,The serum concentration of Ranolazine can be increased when it is combined with Ceftriaxone.
Rasagiline,Ceftriaxone may decrease the excretion rate of Rasagiline which could result in a higher serum level.
Regorafenib,The serum concentration of Regorafenib can be increased when it is combined with Ceftriaxone.
Reserpine,The serum concentration of Reserpine can be increased when it is combined with Ceftriaxone.
Reteplase,The therapeutic efficacy of Reteplase can be decreased when used in combination with Ceftriaxone.
Revefenacin,The serum concentration of Revefenacin can be increased when it is combined with Ceftriaxone.
Reviparin,The therapeutic efficacy of Reviparin can be decreased when used in combination with Ceftriaxone.
Rhodamine 6G,The serum concentration of Rhodamine 6G can be increased when it is combined with Ceftriaxone.
Ribavirin,Ceftriaxone may decrease the excretion rate of Ribavirin which could result in a higher serum level.
Ribostamycin,Ribostamycin may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Rifampicin,The serum concentration of Rifampicin can be increased when it is combined with Ceftriaxone.
Rifamycin,The serum concentration of Rifamycin can be increased when it is combined with Ceftriaxone.
Rifaximin,The serum concentration of Rifaximin can be increased when it is combined with Ceftriaxone.
Rindopepimut,The therapeutic efficacy of Rindopepimut can be decreased when used in combination with Ceftriaxone.
Risedronic acid,The risk or severity of nephrotoxicity and hypocalcemia can be increased when Ceftriaxone is combined with Risedronic acid.
Risperidone,The serum concentration of Risperidone can be increased when it is combined with Ceftriaxone.
Ritonavir,The serum concentration of Ritonavir can be increased when it is combined with Ceftriaxone.
Rivaroxaban,The serum concentration of Rivaroxaban can be increased when it is combined with Ceftriaxone.
Rizatriptan,Ceftriaxone may decrease the excretion rate of Rizatriptan which could result in a higher serum level.
Robenacoxib,Robenacoxib may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Rofecoxib,Rofecoxib may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Roflumilast,Ceftriaxone may decrease the excretion rate of Roflumilast which could result in a higher serum level.
Rolofylline,Rolofylline may increase the excretion rate of Ceftriaxone which could result in a lower serum level and potentially a reduction in efficacy.
Romidepsin,The serum concentration of Romidepsin can be increased when it is combined with Ceftriaxone.
Ropivacaine,Ceftriaxone may decrease the excretion rate of Ropivacaine which could result in a higher serum level.
Rosiglitazone,Ceftriaxone may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.
Rosuvastatin,The excretion of Rosuvastatin can be decreased when combined with Ceftriaxone.
Rotavirus Vaccine,The therapeutic efficacy of Rotavirus Vaccine can be decreased when used in combination with Ceftriaxone.
Rubella virus vaccine,The therapeutic efficacy of Rubella virus vaccine can be decreased when used in combination with Ceftriaxone.
Rucaparib,The serum concentration of Rucaparib can be increased when it is combined with Ceftriaxone.
Ruxolitinib,Ceftriaxone may decrease the excretion rate of Ruxolitinib which could result in a higher serum level.
Sacubitril,Ceftriaxone may decrease the excretion rate of Sacubitril which could result in a higher serum level.
Salbutamol,Ceftriaxone may decrease the excretion rate of Salbutamol which could result in a higher serum level.
Salicylamide,Salicylamide may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Salicylic acid,Salicylic acid may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Salmon Calcitonin,Ceftriaxone may decrease the excretion rate of Salmon Calcitonin which could result in a higher serum level.
Salmonella typhi ty2 vi polysaccharide antigen,The therapeutic efficacy of Salmonella typhi ty2 vi polysaccharide antigen can be decreased when used in combination with Ceftriaxone.
Salsalate,Salsalate may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Saquinavir,The serum concentration of Saquinavir can be increased when it is combined with Ceftriaxone.
Saruplase,The therapeutic efficacy of Saruplase can be decreased when used in combination with Ceftriaxone.
Saxagliptin,Ceftriaxone may decrease the excretion rate of Saxagliptin which could result in a higher serum level.
SC-236,SC-236 may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Secobarbital,Ceftriaxone may decrease the excretion rate of Secobarbital which could result in a higher serum level.
Selenious acid,Ceftriaxone may decrease the excretion rate of Selenious acid which could result in a higher serum level.
Selenium,Ceftriaxone may decrease the excretion rate of Selenium which could result in a higher serum level.
Selexipag,The serum concentration of Selexipag can be increased when it is combined with Ceftriaxone.
Semuloparin,The therapeutic efficacy of Semuloparin can be decreased when used in combination with Ceftriaxone.
Sibutramine,Ceftriaxone may decrease the excretion rate of Sibutramine which could result in a higher serum level.
Sildenafil,The serum concentration of Sildenafil can be increased when it is combined with Ceftriaxone.
Silibinin A,The excretion of Silibinin A can be decreased when combined with Ceftriaxone.
Silodosin,The serum concentration of Silodosin can be increased when it is combined with Ceftriaxone.
Simeprevir,The serum concentration of Simeprevir can be increased when it is combined with Ceftriaxone.
Simvastatin,The serum concentration of Simvastatin can be increased when it is combined with Ceftriaxone.
Sirolimus,The serum concentration of Sirolimus can be increased when it is combined with Ceftriaxone.
Sisomicin,Sisomicin may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Sitagliptin,The serum concentration of Sitagliptin can be increased when it is combined with Ceftriaxone.
Sodium acetate,Ceftriaxone may decrease the excretion rate of Sodium acetate which could result in a higher serum level.
Sodium aurothiomalate,Ceftriaxone may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.
Sodium Citrate,The therapeutic efficacy of Sodium Citrate can be decreased when used in combination with Ceftriaxone.
Sodium fluoride,Ceftriaxone may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.
Sodium sulfate,Ceftriaxone may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.
Sofosbuvir,The serum concentration of Sofosbuvir can be increased when it is combined with Ceftriaxone.
